Test ID,Summary,Description,Test Status,Reporter,Assignee,Test Type,Test Step,Data,Expected Result
TC-UI-001,Verify homepage responsiveness on mobile,Validate homepage layout on mobile devices,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open https://ghorerbazar.com → Resize browser to mobile resolution,375px width,Homepage layout adapts correctly without UI overlap
TC-UI-002,Verify homepage responsiveness on tablet,Validate homepage layout on tablet devices,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open homepage → Resize browser,768px width,Homepage layout responsive on tablet
TC-UI-003,Verify navigation menu responsiveness,Ensure navigation menu adapts on smaller screens,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Resize browser to mobile resolution,375px width,Hamburger menu appears
TC-UI-004,Verify product listing responsiveness,Ensure product grid adapts correctly,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open category page → Resize browser,375px width,Product cards stack properly
TC-UI-005,Verify product details page responsiveness,Validate PDP layout on mobile,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open product details page → Resize browser,375px width,Product details layout responsive
TC-UI-006,Verify cart page responsiveness,Ensure cart layout adapts on mobile,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open cart page → Resize browser,375px width,Cart elements aligned properly
TC-UI-007,Verify checkout page responsiveness,Ensure checkout form adapts correctly,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open checkout page → Resize browser,375px width,Checkout fields displayed correctly
TC-UI-008,Verify contact page responsiveness,Validate contact form layout,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open contact page → Resize browser,375px width,Form fields adjust properly
TC-UI-009,Verify header alignment across screen sizes,Ensure header elements align properly,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Resize browser gradually,Multiple resolutions,Header elements aligned correctly
TC-UI-010,Verify footer responsiveness,Ensure footer layout adapts on small screens,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open homepage → Resize browser,375px width,Footer content stacks properly
TC-UI-011,Verify search bar responsiveness,Ensure search bar resizes properly,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Resize browser window,Mobile resolution,Search bar visible and usable
TC-UI-012,Verify product images scaling,Ensure images resize correctly,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Resize browser window,Mobile resolution,Images scale without distortion
TC-UI-013,Verify button responsiveness,Ensure buttons remain clickable on mobile,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open mobile view and click buttons,Mobile resolution,Buttons accessible and clickable
TC-UI-014,Verify form field responsiveness,Ensure form fields resize correctly,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open login/contact forms → Resize browser,Mobile resolution,Fields adjust correctly
TC-UI-015,Verify text readability on mobile,Ensure text readable on small screens,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open page in mobile view,Mobile resolution,Text readable without zoom
TC-UI-016,Verify UI alignment on large screens,Ensure layout correct on large monitors,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Resize browser to large resolution,1920x1080,Layout expands correctly
TC-UI-017,Verify UI layout on tablet portrait mode,Validate layout on portrait tablet,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Resize browser,768x1024,Layout responsive
TC-UI-018,Verify UI layout on tablet landscape mode,Validate landscape layout,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Resize browser,1024x768,Layout responsive
TC-UI-019,Verify UI responsiveness during orientation change,Ensure layout adapts when rotating device,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Switch between portrait and landscape,Mobile device,Layout adjusts properly
TC-UI-020,Verify responsive product grid columns,Ensure column count adjusts dynamically,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Resize browser gradually,Various resolutions,Grid columns change appropriately
TC-UI-021,Verify navigation hamburger menu functionality,Ensure mobile menu works,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open mobile view → Click hamburger icon,Mobile resolution,Mobile navigation menu opens
TC-UI-022,Verify responsive spacing and padding,Ensure spacing remains consistent,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Resize browser,Various resolutions,Spacing maintained
TC-UI-023,Verify responsive images in banners,Ensure banners scale correctly,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Resize homepage,Mobile resolution,Banner images resize properly
TC-UI-024,Verify scroll behavior on mobile UI,Ensure smooth scroll on mobile,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open mobile view and scroll page,Mobile resolution,Scrolling works smoothly
TC-UI-025,Verify responsive behavior across browsers,Ensure UI responsiveness consistent,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open site in Chrome/Firefox/Edge and resize,Multiple browsers,Responsive layout consistent across browsers
