Test ID,Summary,Description,Test Status,Reporter,Assignee,Test Type,Test Step,Data,Expected Result
TC-PERF-001,Verify homepage load time,Validate homepage loads within acceptable time,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Open https://ghorerbazar.com and measure load time,N/A,Homepage loads within 3 seconds
TC-PERF-002,Verify product listing page load time,Measure loading performance of product category page,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Navigate to product category page and measure load time,Category: Ghee,Page loads within 3 seconds
TC-PERF-003,Verify product details page load time,Ensure product details page loads quickly,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Open any product page,N/A,Product details page loads within 3 seconds
TC-PERF-004,Verify cart page load performance,Ensure cart page loads quickly,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Open cart page,N/A,Cart page loads within acceptable time
TC-PERF-005,Verify checkout page load performance,Measure checkout page loading speed,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Navigate to checkout page,N/A,Checkout page loads within 3 seconds
TC-PERF-006,Verify search response time,Measure search functionality response time,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Search for 'Ghee',Keyword: Ghee,Search results appear within 2 seconds
TC-PERF-007,Verify server response time,Measure server response time for homepage request,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Send request to homepage,N/A,Server response time < 500 ms
TC-PERF-008,Verify multiple user load simulation,Test system under multiple concurrent users,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Simulate 50 concurrent users accessing homepage,50 users,System remains responsive
TC-PERF-009,Verify high traffic behavior,Test website performance under high traffic load,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Simulate 100 users performing browsing actions,100 users,Website remains stable
TC-PERF-010,Verify product search under load,Ensure search functionality performs under load,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Simulate multiple users searching products,50 searches,Search results returned quickly
TC-PERF-011,Verify add to cart performance,Ensure adding item to cart responds quickly,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Add product to cart,Product: Honey,Item added within 2 seconds
TC-PERF-012,Verify checkout processing speed,Measure checkout processing performance,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Place order with valid data,Valid order data,Order processed within acceptable time
TC-PERF-013,Verify image loading performance,Ensure product images load efficiently,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Open product listing page,N/A,Images load without delay
TC-PERF-014,Verify page rendering performance,Ensure UI renders quickly after page load,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Open homepage,N/A,UI elements render within 1 second
TC-PERF-015,Verify database query performance,Ensure product queries respond quickly,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Load product listing page,N/A,Query results returned quickly
TC-PERF-016,Verify API response time,Measure backend API response for product data,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Trigger product API request,N/A,API response < 500 ms
TC-PERF-017,Verify caching effectiveness,Ensure caching reduces load time,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Reload homepage multiple times,N/A,Subsequent loads faster
TC-PERF-018,Verify session handling under load,Ensure sessions handled properly during heavy traffic,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Simulate multiple logins,50 logins,Sessions maintained without error
TC-PERF-019,Verify memory usage under load,Ensure memory usage remains stable,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Simulate multiple browsing actions,50 users,No abnormal memory spikes
TC-PERF-020,Verify CPU usage under load,Ensure server CPU usage within acceptable range,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Simulate heavy load,High traffic,CPU usage within acceptable limits
TC-PERF-021,Verify network latency impact,Ensure site usable under slower networks,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Throttle network to slow 3G,Slow network,Site remains usable
TC-PERF-022,Verify page performance across browsers,Measure load performance across browsers,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Open homepage in Chrome/Firefox/Edge,Multiple browsers,Load time consistent
TC-PERF-023,Verify mobile performance,Ensure acceptable load speed on mobile devices,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Open homepage on mobile network,Mobile device,Page loads within acceptable time
TC-PERF-024,Verify repeated page refresh performance,Reload page multiple times,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Refresh homepage 10 times,N/A,Performance remains stable
TC-PERF-025,Verify performance monitoring logs,Ensure performance metrics logged,TODO,Gourab Chowdhury,QA Team,Performance / Automation,Execute multiple actions,N/A,Logs capture response time metrics
