Test ID,Summary,Description,Test Status,Reporter,Assignee,Test Type,Test Step,Data,Expected Result
TC-PL-001,Verify product listing page loads,Validate that category page loads successfully,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,"1. Open https://ghorerbazar.com
2. Navigate to a category (e.g., Ghee)",Category: Ghee,Product listing page should load without errors
TC-PL-002,Verify product cards visibility,Ensure product cards appear in grid layout,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open product category page,N/A,Product cards should be visible
TC-PL-003,Verify product image display,Ensure product images load correctly,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open product listing page and observe images,N/A,Images should display without broken links
TC-PL-004,Verify product title visibility,Ensure each product displays a title,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open listing page and observe product names,N/A,Product titles should be visible
TC-PL-005,Verify product price display,Validate that product price appears under product title,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open listing page and observe prices,N/A,Product prices should be visible
TC-PL-006,Verify discounted price display,Ensure discounted products show correct price,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open listing page and locate discounted product,Product with discount,Discounted price should be visible
TC-PL-007,Verify clicking product opens product details,Validate navigation to product page,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Click any product card,N/A,Product detail page should open
TC-PL-008,Verify product grid alignment,Ensure product cards align properly,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open listing page and inspect layout,N/A,Products should align in consistent grid
TC-PL-009,Verify pagination visibility,Ensure pagination appears if many products exist,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Scroll to bottom of listing page,N/A,Pagination should be visible
TC-PL-010,Verify next page navigation,Validate next page button functionality,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Click pagination next button,Page 2,Next set of products should load
TC-PL-011,Verify previous page navigation,Validate previous page button functionality,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Navigate to page 2 then click previous,N/A,Previous page should load
TC-PL-012,Verify product hover effect,Ensure hover effect appears on product card,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Hover mouse over product card,N/A,Hover effect should appear
TC-PL-013,Verify product image click navigation,Validate clicking image opens product page,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Click product image,N/A,Product detail page should open
TC-PL-014,Verify product title click navigation,Validate clicking title opens product page,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Click product title,N/A,Product detail page should open
TC-PL-015,Verify product listing page refresh,Validate page reload functionality,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Refresh product listing page,N/A,Products reload correctly
TC-PL-016,Verify product listing responsiveness mobile,Ensure layout adapts on mobile,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Resize browser to mobile resolution,375px width,Layout should adjust correctly
TC-PL-017,Verify product listing responsiveness tablet,Ensure layout adapts on tablet,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Resize browser to tablet resolution,768px width,Layout should remain responsive
TC-PL-018,Verify product listing scroll behavior,Ensure smooth scrolling on listing page,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Scroll page up and down,N/A,Scrolling should work smoothly
TC-PL-019,Verify no broken product images,Ensure product images load properly,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Inspect product images,N/A,No broken image icons should appear
TC-PL-020,Verify product listing load performance,Measure page loading time,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open category page and observe load time,N/A,Page should load within 3 seconds
TC-PL-021,Verify product listing across browsers,Validate cross-browser compatibility,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open listing page in Chrome/Firefox/Edge,Browser type,Listing should display correctly
TC-PL-022,Verify product availability label,Ensure stock status appears if available,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open listing page and inspect product info,N/A,Availability information should display
TC-PL-023,Verify product listing keyboard accessibility,Validate navigation using keyboard,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Use TAB key to navigate product cards,Keyboard input,Products accessible via keyboard
TC-PL-024,Verify product listing URL structure,Validate SEO friendly URL structure,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Open category page and inspect URL,N/A,URL should be readable and structured
TC-PL-025,Verify listing page stability under refresh,Ensure page behaves correctly on refresh,TODO,Gourab Chowdhury,QA Team,Manual / Selenium Automation,Refresh listing page multiple times,N/A,Product list should reload without errors
